POS,NOM,PUNTS,J,G,E,P,GF,GC
1,VIC,50,28,13,11,4,40,21
2,VILANOVA,48,28,14,6,8,44,34
3,SANTJUST,44,28,11,11,6,43,32
4,CANVIDALET,44,28,11,11,6,42,28
5,VILAFRANCA,42,28,11,9,8,30,27
6,CASTELLDEFELS,41,28,12,5,11,38,35
7,MANLLEU,41,28,11,8,9,43,39
8,HORTA,40,28,10,10,8,38,31
9,RUBI,38,28,10,8,10,48,45
10,SANMAURO,38,28,11,5,12,34,24
11,VALLS,36,28,10,6,12,26,32
12,POBLA,36,28,10,6,12,37,43
13,FIGUERES,36,28,8,12,8,27,35
14,RAPITENCA,35,28,9,8,11,40,45
15,PALAMOS,23,28,6,5,17,30,61
16,LLORET,18,28,5,3,20,31,59
