JORNADA,EQUIP_LOCAL,GOLS_LOCAL,GOLS_VISITANT,EQUIP_VISITANT
1,POBLA,1.0,2.0,VILAFRANCA
1,VILANOVA,1.0,0.0,HORTA
1,MANLLEU,2.0,2.0,RUBI
1,PALAMOS,1.0,1.0,CANVIDALET
1,LLORET,2.0,3.0,FIGUERES
1,VALLS,0.0,0.0,SANMAURO
1,VIC,2.0,0.0,CASTELLDEFELS
1,RAPITENCA,2.0,0.0,SANTJUST
2,VILAFRANCA,2.0,2.0,RAPITENCA
2,HORTA,1.0,1.0,POBLA
2,RUBI,3.0,3.0,VILANOVA
2,CANVIDALET,0.0,0.0,MANLLEU
2,FIGUERES,1.0,2.0,PALAMOS
2,SANMAURO,3.0,0.0,LLORET
2,CASTELLDEFELS,3.0,0.0,VALLS
2,SANTJUST,0.0,2.0,VIC
3,VILAFRANCA,3.0,3.0,HORTA
3,POBLA,1.0,1.0,RUBI
3,VILANOVA,1.0,1.0,CANVIDALET
3,MANLLEU,0.0,0.0,FIGUERES
3,PALAMOS,0.0,3.0,SANMAURO
3,LLORET,2.0,2.0,CASTELLDEFELS
3,VALLS,1.0,1.0,SANTJUST
3,RAPITENCA,1.0,1.0,VIC
4,HORTA,2.0,1.0,RAPITENCA
4,RUBI,3.0,2.0,VILAFRANCA
4,CANVIDALET,3.0,1.0,POBLA
4,FIGUERES,0.0,1.0,VILANOVA
4,SANMAURO,2.0,1.0,MANLLEU
4,CASTELLDEFELS,3.0,1.0,PALAMOS
4,SANTJUST,2.0,0.0,LLORET
4,VIC,2.0,1.0,VALLS
5,HORTA,1.0,0.0,RUBI
5,VILAFRANCA,1.0,3.0,CANVIDALET
5,POBLA,2.0,2.0,FIGUERES
5,VILANOVA,2.0,1.0,SANMAURO
5,MANLLEU,1.0,3.0,CASTELLDEFELS
5,PALAMOS,2.0,0.0,SANTJUST
5,LLORET,0.0,2.0,VIC
5,RAPITENCA,2.0,1.0,VALLS
6,RUBI,3.0,0.0,RAPITENCA
6,CANVIDALET,3.0,3.0,HORTA
6,FIGUERES,0.0,0.0,VILAFRANCA
6,SANMAURO,3.0,0.0,POBLA
6,CASTELLDEFELS,1.0,2.0,VILANOVA
6,SANTJUST,2.0,0.0,MANLLEU
6,VIC,3.0,2.0,PALAMOS
6,VALLS,2.0,1.0,LLORET
7,RUBI,0.0,3.0,CANVIDALET
7,HORTA,3.0,0.0,FIGUERES
7,VILAFRANCA,6.0,3.0,SANMAURO
7,POBLA,3.0,0.0,CASTELLDEFELS
7,VILANOVA,0.0,0.0,SANTJUST
7,MANLLEU,1.0,0.0,VIC
7,PALAMOS,2.0,2.0,VALLS
7,RAPITENCA,1.0,2.0,LLORET
8,CANVIDALET,4.0,0.0,RAPITENCA
8,FIGUERES,2.0,0.0,RUBI
8,SANMAURO,3.0,1.0,HORTA
8,CASTELLDEFELS,0.0,2.0,VILAFRANCA
8,SANTJUST,3.0,0.0,POBLA
8,VIC,1.0,1.0,VILANOVA
8,VALLS,0.0,0.0,MANLLEU
8,LLORET,1.0,2.0,PALAMOS
9,CANVIDALET,5.0,0.0,FIGUERES
9,RUBI,1.0,0.0,SANMAURO
9,HORTA,1.0,2.0,CASTELLDEFELS
9,VILAFRANCA,2.0,1.0,SANTJUST
9,POBLA,3.0,1.0,VIC
9,VILANOVA,1.0,0.0,VALLS
9,MANLLEU,3.0,1.0,LLORET
9,RAPITENCA,2.0,0.0,PALAMOS
10,FIGUERES,2.0,2.0,RAPITENCA
10,SANMAURO,1.0,1.0,CANVIDALET
10,CASTELLDEFELS,2.0,2.0,RUBI
10,SANTJUST,2.0,0.0,HORTA
10,VIC,0.0,0.0,VILAFRANCA
10,VALLS,1.0,0.0,POBLA
10,LLORET,2.0,1.0,VILANOVA
10,PALAMOS,2.0,5.0,MANLLEU
11,FIGUERES,1.0,0.0,SANMAURO
11,CANVIDALET,1.0,0.0,CASTELLDEFELS
11,RUBI,2.0,0.0,SANTJUST
11,HORTA,0.0,0.0,VIC
11,VILAFRANCA,2.0,3.0,VALLS
11,POBLA,0.0,3.0,LLORET
11,VILANOVA,2.0,2.0,PALAMOS
11,RAPITENCA,1.0,2.0,MANLLEU
12,SANMAURO,0.0,1.0,RAPITENCA
12,CASTELLDEFELS,2.0,0.0,FIGUERES
12,SANTJUST,3.0,0.0,CANVIDALET
12,VIC,3.0,1.0,RUBI
12,VALLS,2.0,0.0,HORTA
12,LLORET,1.0,0.0,VILAFRANCA
12,PALAMOS,0.0,2.0,POBLA
12,MANLLEU,1.0,2.0,VILANOVA
13,SANMAURO,2.0,0.0,CASTELLDEFELS
13,FIGUERES,1.0,0.0,SANTJUST
13,CANVIDALET,0.0,0.0,VIC
13,RUBI,2.0,2.0,VALLS
13,HORTA,3.0,1.0,LLORET
13,VILAFRANCA,1.0,0.0,PALAMOS
13,POBLA,0.0,1.0,MANLLEU
13,RAPITENCA,1.0,3.0,VILANOVA
14,RAPITENCA,2.0,1.0,CASTELLDEFELS
14,SANTJUST,2.0,1.0,SANMAURO
14,VIC,2.0,0.0,FIGUERES
14,VALLS,1.0,1.0,CANVIDALET
14,LLORET,3.0,3.0,RUBI
14,PALAMOS,0.0,4.0,HORTA
14,MANLLEU,2.0,0.0,VILAFRANCA
14,VILANOVA,0.0,1.0,POBLA
15,CASTELLDEFELS,2.0,3.0,SANTJUST
15,SANMAURO,0.0,0.0,VIC
15,FIGUERES,0.0,0.0,VALLS
15,CANVIDALET,3.0,1.0,LLORET
15,RUBI,1.0,4.0,PALAMOS
15,HORTA,2.0,2.0,MANLLEU
15,VILAFRANCA,2.0,2.0,VILANOVA
15,POBLA,2.0,1.0,RAPITENCA
16,VILAFRANCA,3.0,0.0,POBLA
16,HORTA,2.0,1.0,VILANOVA
16,RUBI,5.0,2.0,MANLLEU
16,CANVIDALET,2.0,2.0,PALAMOS
16,FIGUERES,0.0,2.0,LLORET
16,SANMAURO,3.0,0.0,VALLS
16,CASTELLDEFELS,0.0,2.0,VIC
16,SANTJUST,1.0,1.0,RAPITENCA
17,RAPITENCA,1.0,0.0,VILAFRANCA
17,POBLA,0.0,1.0,HORTA
17,VILANOVA,3.0,2.0,RUBI
17,MANLLEU,3.0,1.0,CANVIDALET
17,PALAMOS,1.0,1.0,FIGUERES
17,LLORET,2.0,0.0,SANMAURO
17,VALLS,1.0,0.0,CASTELLDEFELS
17,VIC,1.0,1.0,SANTJUST
18,HORTA,2.0,0.0,VILAFRANCA
18,RUBI,4.0,0.0,POBLA
18,CANVIDALET,2.0,0.0,VILANOVA
18,FIGUERES,1.0,1.0,MANLLEU
18,SANMAURO,3.0,0.0,PALAMOS
18,CASTELLDEFELS,1.0,1.0,LLORET
18,SANTJUST,0.0,0.0,VALLS
18,VIC,2.0,1.0,RAPITENCA
19,RAPITENCA,1.0,1.0,HORTA
19,VILAFRANCA,2.0,1.0,RUBI
19,POBLA,0.0,2.0,CANVIDALET
19,VILANOVA,1.0,2.0,FIGUERES
19,MANLLEU,0.0,2.0,SANMAURO
19,PALAMOS,2.0,1.0,CASTELLDEFELS
19,LLORET,0.0,2.0,SANTJUST
19,VALLS,4.0,0.0,VIC
20,RUBI,1.0,2.0,HORTA
20,CANVIDALET,1.0,0.0,VILAFRANCA
20,FIGUERES,1.0,1.0,POBLA
20,SANMAURO,1.0,0.0,VILANOVA
20,CASTELLDEFELS,3.0,1.0,MANLLEU
20,SANTJUST,3.0,3.0,PALAMOS
20,VIC,4.0,1.0,LLORET
20,VALLS,2.0,0.0,RAPITENCA
21,RAPITENCA,3.0,2.0,RUBI
21,HORTA,0.0,0.0,CANVIDALET
21,VILAFRANCA,6.0,1.0,FIGUERES
21,POBLA,2.0,1.0,SANMAURO
21,VILANOVA,0.0,3.0,CASTELLDEFELS
21,MANLLEU,0.0,2.0,SANTJUST
21,PALAMOS,1.0,0.0,VIC
21,LLORET,2.0,2.0,VALLS
22,CANVIDALET,1.0,0.0,RUBI
22,FIGUERES,1.0,1.0,HORTA
22,SANMAURO,0.0,1.0,VILAFRANCA
22,CASTELLDEFELS,3.0,2.0,POBLA
22,SANTJUST,1.0,3.0,VILANOVA
22,VIC,2.0,2.0,MANLLEU
22,VALLS,1.0,0.0,PALAMOS
22,LLORET,1.0,0.0,RAPITENCA
23,RAPITENCA,2.0,0.0,CANVIDALET
23,RUBI,1.0,2.0,FIGUERES
23,HORTA,0.0,0.0,SANMAURO
23,VILAFRANCA,1.0,0.0,CASTELLDEFELS
23,POBLA,2.0,2.0,SANTJUST
23,VILANOVA,2.0,2.0,VIC
23,MANLLEU,0.0,2.0,VALLS
23,PALAMOS,2.0,1.0,LLORET
24,FIGUERES,2.0,1.0,CANVIDALET
24,SANMAURO,0.0,2.0,RUBI
24,CASTELLDEFELS,0.0,1.0,HORTA
24,SANTJUST,0.0,0.0,VILAFRANCA
24,VIC,1.0,0.0,POBLA
24,VALLS,1.0,2.0,VILANOVA
24,LLORET,1.0,2.0,MANLLEU
24,PALAMOS,1.0,5.0,RAPITENCA
25,RAPITENCA,2.0,2.0,FIGUERES
25,CANVIDALET,1.0,1.0,SANMAURO
25,RUBI,2.0,0.0,CASTELLDEFELS
25,HORTA,2.0,0.0,SANTJUST
25,VILAFRANCA,2.0,1.0,VIC
25,POBLA,0.0,2.0,VALLS
25,VILANOVA,6.0,0.0,LLORET
25,MANLLEU,0.0,3.0,PALAMOS
26,SANMAURO,0.0,0.0,FIGUERES
26,CASTELLDEFELS,0.0,0.0,CANVIDALET
26,SANTJUST,0.0,0.0,RUBI
26,VIC,0.0,1.0,HORTA
26,VALLS,3.0,0.0,VILAFRANCA
26,LLORET,1.0,6.0,POBLA
26,PALAMOS,1.0,4.0,VILANOVA
26,MANLLEU,4.0,1.0,RAPITENCA
27,RAPITENCA,2.0,1.0,SANMAURO
27,FIGUERES,1.0,2.0,CASTELLDEFELS
27,CANVIDALET,2.0,2.0,SANTJUST
27,RUBI,2.0,1.0,VIC
27,HORTA,4.0,0.0,VALLS
27,VILAFRANCA,6.0,0.0,LLORET
27,POBLA,2.0,1.0,PALAMOS
27,VILANOVA,1.0,2.0,MANLLEU
28,CASTELLDEFELS,2.0,0.0,SANMAURO
28,SANTJUST,1.0,1.0,FIGUERES
28,VIC,1.0,1.0,CANVIDALET
28,VALLS,3.0,0.0,RUBI
28,LLORET,1.0,2.0,HORTA
28,PALAMOS,0.0,2.0,VILAFRANCA
28,MANLLEU,3.0,0.0,POBLA
28,VILANOVA,2.0,2.0,RAPITENCA
